id,price,accommodates,bedrooms,bathrooms,host_is_superhost,host_has_profile_pic
5620928,115.0,2,1.0,1.0,f,t
7381677,199.0,2,1.0,1.0,t,t
5487934,150.0,2,1.0,1.0,f,t
9028447,100.0,2,1.0,1.0,f,t
757840,250.0,6,3.0,2.5,t,t
8848403,39.0,2,1.0,1.0,f,t
7430926,69.0,4,1.0,1.0,f,t
7021544,145.0,4,1.0,1.0,f,t
1323446,98.0,5,1.0,1.0,t,t
3925573,130.0,4,1.0,1.0,f,t
8723086,85.0,4,1.0,1.0,f,t
781474,85.0,1,1.0,1.0,f,t
9812439,73.0,4,1.0,1.0,f,t
3401644,150.0,4,1.0,1.0,f,t
10036903,85.0,3,1.0,1.0,f,t
5310193,190.0,6,3.0,2.0,f,t
5308875,68.0,2,1.0,1.0,t,t
5052459,149.0,2,1.0,1.5,t,t
7228499,349.0,10,2.0,2.0,f,t
7651653,105.0,2,1.0,1.0,f,t
1494986,145.0,4,1.0,1.5,t,t
1783382,150.0,2,1.0,1.0,f,t
7513198,275.0,4,2.0,2.0,f,t
8308316,165.0,4,2.0,1.0,f,t
9694921,196.0,5,3.0,2.0,f,t
2472850,195.0,4,1.0,1.0,f,t
5487522,200.0,4,2.0,2.0,f,t
4016650,90.0,2,1.0,1.5,t,t
10229434,100.0,4,1.0,1.0,f,t
3479241,125.0,2,1.0,1.0,f,t
5848400,250.0,8,3.0,1.5,f,t
6077760,130.0,2,1.0,1.5,t,t
4642956,209.0,2,1.0,1.0,f,t
1167507,110.0,4,1.0,1.0,t,t
6044106,90.0,4,1.0,1.0,f,t
1799255,90.0,2,1.0,1.0,f,t
8941768,130.0,2,1.0,1.0,f,t
6569950,175.0,2,1.0,1.0,f,t
7733192,749.0,8,3.0,3.5,t,t
9215782,115.0,4,2.0,2.0,f,t
5175631,165.0,4,2.0,1.5,t,t
6315614,109.0,4,1.0,1.0,f,t
9134193,80.0,2,0.0,1.0,f,t
2481189,285.0,6,3.0,2.0,t,t
8535897,80.0,2,1.0,1.0,f,t
9476826,75.0,1,1.0,1.0,f,t
3144311,68.0,2,1.0,1.0,f,t
9370007,85.0,2,1.0,1.0,f,t
6781308,125.0,4,1.0,1.0,t,t
160222,110.0,2,1.0,1.0,f,t
4250367,600.0,7,3.0,4.0,f,t
8755479,235.0,4,2.0,2.0,f,t
8829156,75.0,4,1.0,1.0,f,t
5126077,95.0,2,1.0,1.0,f,t
6108796,103.0,4,1.0,1.0,f,t
2692126,120.0,2,1.0,1.0,f,t
6882211,95.0,2,1.0,1.0,f,t
9573675,143.0,5,2.0,2.5,f,t
3544953,99.0,2,1.0,1.0,t,t
2020505,142.0,2,1.0,1.0,t,t
5580457,150.0,2,1.0,1.0,f,t
1495271,295.0,6,3.0,2.0,f,t
8455865,335.0,6,4.0,3.5,f,t
9679300,60.0,2,1.0,1.0,f,t
6065566,250.0,6,3.0,1.5,f,t
4645208,499.0,8,4.0,3.0,t,t
6115807,350.0,8,3.0,2.0,f,t
7091397,156.0,3,1.0,1.0,f,t
6134153,200.0,4,2.0,1.0,f,t
7763878,180.0,4,2.0,2.0,f,t
8088447,103.0,3,1.0,1.0,f,t
3418349,99.0,2,1.0,1.0,f,t
9199982,94.0,3,1.0,1.0,f,t
6400000,160.0,4,1.0,1.0,f,t
6776229,129.0,4,1.0,1.0,t,t
7627794,219.0,4,1.0,1.0,f,t
8374102,91.0,4,1.0,1.0,f,t
6316934,75.0,4,1.0,1.0,f,t
1820794,99.0,2,0.0,1.0,t,t
314180,300.0,5,3.0,1.5,t,t
8670079,150.0,5,3.0,2.0,f,t
4868135,149.0,6,2.0,1.0,f,t
5336585,75.0,2,0.0,1.0,f,t
1427103,95.0,3,1.0,1.0,f,t
3518808,100.0,2,1.0,1.0,f,t
8995844,250.0,6,3.0,2.0,f,t
356566,105.0,2,1.0,2.0,t,t
6466388,74.0,2,1.0,1.0,f,t
4531944,140.0,2,1.0,1.0,t,t
6686072,130.0,4,1.0,1.0,t,t
4384343,110.0,2,1.0,1.0,f,t
7900056,199.0,8,4.0,2.0,f,t
6378563,209.0,6,2.0,1.5,f,t
5630783,100.0,4,0.0,1.0,t,t
340706,110.0,4,1.0,1.0,f,t
6202214,104.0,2,1.0,1.0,f,t
1030411,200.0,4,2.0,2.0,f,t
7922373,99.0,4,0.0,1.0,f,t
6156470,90.0,2,1.0,1.0,t,t
2994309,135.0,6,2.0,1.0,t,t
1594328,122.0,6,2.0,1.0,f,t
8072920,80.0,2,0.0,1.0,f,t
6915487,158.0,4,2.0,1.0,f,t
6202603,90.0,4,1.0,1.0,f,t
5286781,100.0,3,1.0,1.0,f,t
2818420,89.0,4,1.0,1.0,f,t
3739681,125.0,4,2.0,1.0,f,t
7922063,42.0,2,1.0,1.0,f,t
611509,65.0,2,1.0,1.0,t,t
1802663,100.0,4,1.0,1.0,f,t
9797545,40.0,1,1.0,1.0,f,t
9241055,185.0,6,3.0,1.0,f,t
9294832,40.0,2,1.0,1.0,f,t
8643209,70.0,2,1.0,1.5,f,t
7258811,40.0,1,1.0,1.0,f,t
10265391,70.0,2,1.0,1.0,f,t
132120,110.0,4,1.0,1.0,f,t
6343866,99.0,4,2.0,1.0,t,t
3066740,680.0,6,3.0,3.0,f,t
4130112,195.0,6,3.0,1.5,f,t
4026757,55.0,2,1.0,2.0,t,t
9545281,90.0,2,1.0,1.0,f,t
3294804,119.0,4,1.0,1.0,f,t
4122325,175.0,5,3.0,2.0,t,t
8308353,65.0,2,1.0,1.0,t,t
7226013,75.0,2,1.0,1.0,f,t
5761290,126.0,4,2.0,1.0,f,t
182716,70.0,2,1.0,1.0,f,t
3050140,90.0,2,1.0,1.0,t,t
3254956,129.0,2,1.0,1.0,f,t
1264287,225.0,12,5.0,2.0,f,t
3404557,40.0,1,1.0,1.0,f,t
3939683,50.0,1,1.0,1.0,f,t
3424242,40.0,1,1.0,1.0,f,t
7985714,40.0,1,1.0,1.0,f,t
4279876,95.0,4,2.0,1.0,t,t
3870253,175.0,6,2.0,1.0,f,t
2187563,160.0,6,2.0,1.0,f,t
3889299,40.0,1,1.0,1.0,f,t
3889330,40.0,1,1.0,1.0,f,t
1184846,120.0,2,1.0,1.0,t,t
3626162,66.0,4,1.0,1.0,t,t
456040,55.0,2,1.0,1.0,f,t
9033154,350.0,7,4.0,3.0,f,t
4340838,85.0,2,0.0,1.0,t,t
808811,175.0,6,2.0,1.0,f,t
7368030,105.0,2,1.0,1.0,f,t
522287,55.0,3,1.0,1.0,f,t
1940787,150.0,5,2.0,1.0,f,t
3732103,40.0,1,1.0,1.0,f,t
43373,59.0,2,1.0,2.0,f,t
5126365,80.0,2,1.0,1.0,f,t
7182584,200.0,5,2.0,1.0,f,t
5325214,60.0,3,0.0,1.0,f,t
2710274,59.0,2,1.0,1.0,f,t
5128160,575.0,8,4.0,3.0,f,t
3424114,40.0,1,1.0,1.0,f,t
2776890,139.0,2,1.0,1.0,f,t
4521755,70.0,4,1.0,1.0,f,t
3456599,85.0,4,1.0,1.0,f,t
8207848,259.0,4,2.0,1.0,f,t
10249527,39.0,3,1.0,1.0,f,t
1252740,70.0,2,1.0,1.5,t,t
4250938,166.0,6,2.0,1.0,f,t
3791920,99.0,4,1.0,1.0,t,t
4258762,110.0,2,1.0,1.0,t,t
7364146,100.0,4,1.0,1.0,f,t
6765045,250.0,7,3.0,1.0,f,t
3193738,150.0,4,1.0,1.0,f,t
8765219,200.0,5,1.0,1.0,f,t
8174285,95.0,2,1.0,1.0,t,t
3403638,40.0,1,1.0,1.0,f,t
7601333,215.0,4,2.0,1.0,f,t
6707735,110.0,2,1.0,1.0,t,t
7322718,249.0,5,3.0,1.0,f,t
3783162,295.0,8,3.0,2.0,f,t
6606,90.0,2,1.0,1.0,f,t
3889280,40.0,1,1.0,1.0,f,t
3971137,85.0,2,0.0,1.0,f,t
3889050,40.0,1,1.0,1.0,f,t
799882,40.0,2,1.0,1.5,t,t
9508386,245.0,8,4.0,2.0,f,t
6714817,130.0,2,1.0,1.0,f,t
3773700,210.0,4,3.0,1.5,f,t
3773568,439.0,6,2.0,2.5,f,t
9313974,90.0,1,1.0,1.0,f,t
6492880,95.0,3,1.0,1.0,f,t
4879013,109.0,4,2.0,1.0,t,t
3732094,40.0,1,1.0,1.0,f,t
873073,175.0,4,2.0,1.0,f,t
234898,80.0,3,1.0,1.0,f,t
8533375,105.0,2,1.0,1.0,f,t
6854019,400.0,8,3.0,3.5,t,t
8418650,100.0,4,2.0,1.0,f,t
3732076,40.0,1,1.0,1.0,f,t
4608592,160.0,6,2.0,1.0,t,t
4862719,55.0,2,1.0,1.0,f,t
668169,55.0,3,1.0,1.0,f,t
429453,150.0,2,1.0,2.5,t,t
10124808,55.0,2,1.0,1.0,f,t
7459684,95.0,6,2.0,1.0,f,t
5992645,155.0,4,2.0,1.0,f,t
7917718,55.0,2,1.0,1.0,t,t
2986056,40.0,1,1.0,1.0,f,t
2011193,250.0,7,3.0,2.0,f,t
3768626,145.0,2,0.0,1.0,f,t
2026794,54.0,2,1.0,1.0,f,t
9154294,99.0,4,1.0,1.0,f,t
430610,254.0,8,3.0,3.0,t,t
3231850,100.0,3,0.0,1.0,t,t
2976798,65.0,2,1.0,1.0,f,t
703058,150.0,4,2.0,1.0,t,t
7826541,140.0,2,1.0,1.0,f,t
240920,45.0,3,1.0,1.0,f,t
6655233,74.0,3,1.0,1.0,f,t
9866461,60.0,2,1.0,1.0,f,t
7957729,350.0,5,2.0,2.5,f,t
1428687,135.0,4,1.0,1.0,f,t
4803403,85.0,2,1.0,1.0,t,t
11012,310.0,8,3.0,2.0,f,t
3888924,40.0,1,1.0,1.0,f,t
8842808,215.0,5,2.0,1.0,f,t
1114695,245.0,8,3.0,2.5,t,t
1715582,65.0,2,1.0,1.5,f,t
6704734,85.0,4,1.0,1.0,f,t
8555098,95.0,2,1.0,1.0,f,t
1214316,57.0,2,1.0,1.0,f,t
7325455,75.0,2,0.0,1.0,f,t
6325685,120.0,3,0.0,1.0,t,t
9596,120.0,6,1.0,1.0,f,t
9568491,40.0,2,1.0,1.0,f,t
1747184,490.0,12,6.0,3.0,t,t
8653843,50.0,2,1.0,1.0,f,t
6727729,200.0,6,2.0,1.0,f,t
3888986,40.0,1,1.0,1.0,f,t
4135710,255.0,2,1.0,1.0,f,t
3652434,95.0,2,1.0,1.0,t,t
7667990,160.0,2,1.0,1.0,f,t
4047058,55.0,2,1.0,2.0,t,t
7163934,85.0,2,1.0,1.0,f,t
